ND       RADIUS   L1       L2       
4.000    8.000    4.000    4.000   
5.000    10.000   5.000    5.000   
6.000    12.000   6.000    6.000   
8.000    16.000   8.000    8.000   
9.000    18.000   9.000    9.000   
10.000   20.000   10.000   10.000  
11.000   22.000   11.000   11.000  
12.000   24.000   12.000   12.000  
13.000   26.000   13.000   13.000  
13.500   27.000   13.500   13.500  
14.000   28.000   14.000   14.000  
15.000   30.000   15.000   15.000  
16.000   32.000   16.000   16.000  
17.000   34.000   17.000   17.000  
17.200   34.400   17.200   17.200  
18.000   36.000   18.000   18.000  
20.000   40.000   20.000   20.000  
21.300   42.600   21.300   21.300  
22.000   44.000   22.000   22.000  
23.000   46.000   23.000   23.000  
25.000   50.000   25.000   25.000  
26.900   53.800   26.900   26.900  
28.000   56.000   28.000   28.000  
30.000   60.000   30.000   30.000  
32.000   64.000   32.000   32.000  
33.000   66.000   33.000   33.000  
33.700   67.400   33.700   33.700  
35.000   70.000   35.000   35.000  
38.000   76.000   38.000   38.000  
40.000   80.000   40.000   40.000  
42.000   84.000   42.000   42.000  
42.400   84.800   42.400   42.400  
43.000   86.000   43.000   43.000  
44.500   89.000   44.500   44.500  
48.300   96.600   48.300   48.300  
49.000   98.000   49.000   49.000  
50.000   100.000  50.000   50.000  
51.000   102.000  51.000   51.000  
53.000   106.000  53.000   53.000  
54.000   108.000  54.000   54.000  
60.000   120.000  60.000   60.000  
60.300   120.600  60.300   60.300  
63.000   126.000  63.000   63.000  
64.000   128.000  64.000   64.000  
65.000   130.000  65.000   65.000  
68.000   136.000  68.000   68.000  
69.000   138.000  69.000   69.000  
70.000   140.000  70.000   70.000  
75.000   150.000  75.000   75.000  
76.000   152.000  76.000   76.000  
76.100   152.200  76.100   76.100  
80.000   160.000  80.000   80.000  
82.000   164.000  82.000   82.000  
83.000   166.000  83.000   83.000  
84.000   168.000  84.000   84.000  
85.000   170.000  85.000   85.000  
88.000   176.000  88.000   88.000  
88.900   177.800  88.900   88.900  
90.000   180.000  90.000   90.000  
100.000  200.000  100.000  100.000 
102.000  204.000  102.000  102.000 
103.000  206.000  103.000  103.000 
104.000  208.000  104.000  104.000 
105.000  210.000  105.000  105.000 
106.000  212.000  106.000  106.000 
108.000  216.000  108.000  108.000 
110.000  220.000  110.000  110.000 
114.000  228.000  114.000  114.000 
114.300  228.600  114.300  114.300 
123.000  246.000  123.000  123.000 
125.000  250.000  125.000  125.000 
126.000  252.000  126.000  126.000 
127.000  254.000  127.000  127.000 
128.000  256.000  128.000  128.000 
129.000  258.000  129.000  129.000 
131.000  262.000  131.000  131.000 
132.000  264.000  132.000  132.000 
139.700  279.400  139.700  139.700 
140.000  280.000  140.000  140.000 
150.000  300.000  150.000  150.000 
152.000  304.000  152.000  152.000 
153.000  306.000  153.000  153.000 
154.000  308.000  154.000  154.000 
155.000  310.000  155.000  155.000 
156.000  312.000  156.000  156.000 
160.000  320.000  160.000  160.000 
168.300  336.600  168.300  168.300 
175.000  350.000  175.000  175.000 
177.000  354.000  177.000  177.000 
178.000  356.000  178.000  178.000 
200.000  400.000  200.000  200.000 
202.000  404.000  202.000  202.000 
203.000  406.000  203.000  203.000 
204.000  408.000  204.000  204.000 
205.000  410.000  205.000  205.000 
206.000  412.000  206.000  206.000 
210.000  420.000  210.000  210.000 
219.100  438.200  219.100  219.100 
225.000  450.000  225.000  225.000 
228.000  456.000  228.000  228.000 
250.000  500.000  250.000  250.000 
252.000  504.000  252.000  252.000 
253.000  506.000  253.000  253.000 
254.000  508.000  254.000  254.000 
255.000  510.000  255.000  255.000 
256.000  512.000  256.000  256.000 
273.000  546.000  273.000  273.000 
275.000  550.000  275.000  275.000 
278.000  556.000  278.000  278.000 
280.000  560.000  280.000  280.000 
300.000  600.000  300.000  300.000 
302.000  604.000  302.000  302.000 
303.000  606.000  303.000  303.000 
304.000  608.000  304.000  304.000 
305.000  610.000  305.000  305.000 
306.000  612.000  306.000  306.000 
315.000  630.000  315.000  315.000 
323.900  647.800  323.900  323.900 
350.000  700.000  350.000  350.000 
353.000  706.000  353.000  353.000 
355.000  710.000  355.000  355.000 
356.000  712.000  356.000  356.000 
400.000  800.000  400.000  400.000 
403.000  806.000  403.000  403.000 
404.000  808.000  404.000  404.000 
406.000  812.000  406.000  406.000 
450.000  900.000  450.000  450.000 
454.000  908.000  454.000  454.000 
456.000  912.000  456.000  456.000 
500.000  1000.000 500.000  500.000 
504.000  1008.000 504.000  504.000 
506.000  1012.000 506.000  506.000 
550.000  1100.000 550.000  550.000 
554.000  1108.000 554.000  554.000 
560.000  1120.000 560.000  560.000 
600.000  1200.000 600.000  600.000 
604.000  1208.000 604.000  604.000 
606.000  1212.000 606.000  606.000 
608.000  1216.000 608.000  608.000 
630.000  1260.000 630.000  630.000 
650.000  1300.000 650.000  650.000 
700.000  1400.000 700.000  700.000 
710.000  1420.000 710.000  710.000 
711.000  1422.000 711.000  711.000 
712.000  1428.000 712.000  712.000 
750.000  1500.000 750.000  750.000 
800.000  1600.000 800.000  800.000 
813.000  1626.000 813.000  813.000 
850.000  1700.000 850.000  850.000 
900.000  1800.000 900.000  900.000 
914.000  1928.000 914.000  914.000 
950.000  1900.000 950.000  950.000 
1000.000 2000.000 1000.000 1000.000
1016.000 2032.000 1016.000 1016.000
1050.000 2100.000 1050.000 1050.000
1100.000 2200.000 1100.000 1100.000
1150.000 2300.000 1150.000 1150.000
1200.000 2400.000 1200.000 1200.000
1250.000 2500.000 1250.000 1250.000
1300.000 2600.000 1300.000 1300.000
1350.000 2700.000 1350.000 1350.000
1400.000 2800.000 1400.000 1400.000
1473.000 2946.000 1473.000 1473.000
1500.000 3000.000 1500.000 1500.000
1600.000 3200.000 1600.000 1600.000
1700.000 3400.000 1700.000 1700.000
1800.000 3600.000 1800.000 1800.000
1900.000 3800.000 1900.000 1900.000
1950.000 3900.000 1950.000 1950.000
2000.000 4000.000 2000.000 2000.000
2100.000 4200.000 2100.000 2100.000
2200.000 4400.000 2200.000 2200.000
